sample_id,ticker,end_date,num_bars,image_path,review_image_path
AAPL_20250228_120,AAPL,2025-02-28,120,images/AAPL_20250228_120.png,images_review/AAPL_20250228_120.png
AAPL_20250307_120,AAPL,2025-03-07,120,images/AAPL_20250307_120.png,images_review/AAPL_20250307_120.png
AAPL_20250314_120,AAPL,2025-03-14,120,images/AAPL_20250314_120.png,images_review/AAPL_20250314_120.png
AAPL_20250321_120,AAPL,2025-03-21,120,images/AAPL_20250321_120.png,images_review/AAPL_20250321_120.png
AAPL_20250328_120,AAPL,2025-03-28,120,images/AAPL_20250328_120.png,images_review/AAPL_20250328_120.png
AAPL_20250404_120,AAPL,2025-04-04,120,images/AAPL_20250404_120.png,images_review/AAPL_20250404_120.png
AAPL_20250411_120,AAPL,2025-04-11,120,images/AAPL_20250411_120.png,images_review/AAPL_20250411_120.png
AAPL_20250421_120,AAPL,2025-04-21,120,images/AAPL_20250421_120.png,images_review/AAPL_20250421_120.png
AAPL_20250428_120,AAPL,2025-04-28,120,images/AAPL_20250428_120.png,images_review/AAPL_20250428_120.png
AAPL_20250505_120,AAPL,2025-05-05,120,images/AAPL_20250505_120.png,images_review/AAPL_20250505_120.png
AAPL_20250512_120,AAPL,2025-05-12,120,images/AAPL_20250512_120.png,images_review/AAPL_20250512_120.png
AAPL_20250519_120,AAPL,2025-05-19,120,images/AAPL_20250519_120.png,images_review/AAPL_20250519_120.png
AAPL_20250527_120,AAPL,2025-05-27,120,images/AAPL_20250527_120.png,images_review/AAPL_20250527_120.png
AAPL_20250603_120,AAPL,2025-06-03,120,images/AAPL_20250603_120.png,images_review/AAPL_20250603_120.png
AAPL_20250610_120,AAPL,2025-06-10,120,images/AAPL_20250610_120.png,images_review/AAPL_20250610_120.png
AAPL_20250617_120,AAPL,2025-06-17,120,images/AAPL_20250617_120.png,images_review/AAPL_20250617_120.png
AAPL_20250625_120,AAPL,2025-06-25,120,images/AAPL_20250625_120.png,images_review/AAPL_20250625_120.png
AAPL_20250702_120,AAPL,2025-07-02,120,images/AAPL_20250702_120.png,images_review/AAPL_20250702_120.png
AAPL_20250710_120,AAPL,2025-07-10,120,images/AAPL_20250710_120.png,images_review/AAPL_20250710_120.png
AAPL_20250717_120,AAPL,2025-07-17,120,images/AAPL_20250717_120.png,images_review/AAPL_20250717_120.png
AAPL_20250724_120,AAPL,2025-07-24,120,images/AAPL_20250724_120.png,images_review/AAPL_20250724_120.png
AAPL_20250731_120,AAPL,2025-07-31,120,images/AAPL_20250731_120.png,images_review/AAPL_20250731_120.png
AAPL_20250807_120,AAPL,2025-08-07,120,images/AAPL_20250807_120.png,images_review/AAPL_20250807_120.png
AAPL_20250814_120,AAPL,2025-08-14,120,images/AAPL_20250814_120.png,images_review/AAPL_20250814_120.png
AAPL_20250821_120,AAPL,2025-08-21,120,images/AAPL_20250821_120.png,images_review/AAPL_20250821_120.png
AAPL_20250828_120,AAPL,2025-08-28,120,images/AAPL_20250828_120.png,images_review/AAPL_20250828_120.png
AAPL_20250905_120,AAPL,2025-09-05,120,images/AAPL_20250905_120.png,images_review/AAPL_20250905_120.png
