pattern,hybrid_status,cv_status,hybrid_confidence,cv_confidence,consensus_confidence,agreement,confidence_gap,sample_id,ticker
rising_wedge,,forming,,0.66,0.66,single_source,0.66,QQQ_20251003_120,QQQ
bull_flag,,forming,,0.69,0.69,single_source,0.69,QQQ_20251230_120,QQQ
falling_wedge,breakout,breakout,0.61,0.58,0.6,aligned,0.03,QQQ_20251230_120,QQQ
descending_triangle,,forming,,0.55,0.55,single_source,0.55,QQQ_20251230_120,QQQ
bear_flag,,breakdown,,0.71,0.71,single_source,0.71,SPY_20251114_120,SPY
rising_wedge,forming,forming,0.49,0.58,0.53,aligned,0.09,SPY_20251230_120,SPY
